,train,valid
derived_0,0.004175927633744855,0.00024418310278806585
derived_1,0.005656238072016461,0.0012226302741605557
derived_2,0.0030650530658436212,0.0001486237710123457
derived_3,0.0033191695216049375,5.6560352469135795e-05
derived_4,0.003764153816872427,0.00010788254412551438
fundamental_0,0.004693731380658437,0.00021582408452880663
fundamental_1,0.0014702503549382715,0.0001360228073734568
fundamental_10,0.00589553650925926,0.000520544662680041
fundamental_11,0.0032913357098765432,0.0002845529364677572
fundamental_12,0.002680941995884773,0.00019120675786008233
fundamental_13,0.004029872251028807,0.0009189831000199535
fundamental_14,0.008498952031158143,0.0017121350763956056
fundamental_15,0.00778302459435626,0.0014853116183017243
fundamental_16,0.004216547395061728,0.00035939760702942387
fundamental_17,0.00622757026234568,0.001119429480903704
fundamental_18,0.006106496512345675,0.0008395611805753087
fundamental_19,0.003004688652263375,-0.0005595799702160495
fundamental_2,0.003253485534979424,0.00037181319172839507
fundamental_20,0.005756368549382717,0.0007562855929829731
fundamental_21,0.0052872647366255165,0.0007086955803746916
fundamental_22,0.003235300387860082,0.0002675306956582893
fundamental_23,0.00441182995010288,0.0007972126529609054
fundamental_24,0.0013311087139917697,0.00010505536643734567
fundamental_25,0.003639169320987655,0.0002780306193930041
fundamental_26,0.0014580281666666667,0.00018450786005679015
fundamental_27,0.00319955012345679,0.0006800123641692797
fundamental_28,0.00164258037037037,7.790117320864197e-05
fundamental_29,0.004805456028806584,0.0003086371285267489
fundamental_3,0.00277093699074074,0.00022566287610329216
fundamental_30,0.003569450473251029,0.0003756368479619341
fundamental_31,0.003117841080246914,0.0001513342002674897
fundamental_32,0.00394005651234568,0.00041260003653518514
fundamental_33,0.0037797904732510285,9.196864745080766e-05
fundamental_34,0.0025159019135802467,0.00022615641426646088
fundamental_35,0.00304542175925926,0.00026660247710185185
fundamental_36,0.0035918027222222237,0.00036111823623765423
fundamental_37,0.0027950039506172844,0.00018803420388045268
fundamental_38,0.0017760733456790123,0.0002004573629969136
fundamental_39,0.005877476419753087,0.0014606721246625514
fundamental_40,0.002219421851851852,3.194760498065843e-05
fundamental_41,0.006085346600823044,0.0014769237650600821
fundamental_42,0.011399549568930037,0.0016580748659269548
fundamental_43,0.006919665581275717,0.0008730301146409462
fundamental_44,0.005743186604938271,0.0002703430487657408
fundamental_45,0.004662715089506173,0.001297062637573045
fundamental_46,0.00429727399074074,0.0011190916554940063
fundamental_47,0.003084679411522634,0.00034232911261806586
fundamental_48,0.0033317955864197546,0.00017968143054938272
fundamental_49,0.0033361893497942377,0.0001082636943477367
fundamental_5,0.0058072214218107005,0.0011677408043467077
fundamental_50,0.004736691198559671,0.0006864396088374484
fundamental_51,0.003434071995884774,0.000403364333904321
fundamental_52,0.002382686786008231,0.000252896308765432
fundamental_53,0.011948256622134038,0.0023341403997059387
fundamental_54,0.0033722086841563785,0.00034245156822839513
fundamental_55,0.002406405730452675,0.00022350371008641974
fundamental_56,0.006020270778806585,0.001775880767861376
fundamental_57,0.002202988566872428,9.717024178137864e-05
fundamental_58,0.0021273258446502055,0.0001948347583193004
fundamental_59,0.002800977924897119,0.0004708650165761314
fundamental_6,0.000846963086419753,0.0005330722544753087
fundamental_60,0.006953598656378603,0.0010108989970141564
fundamental_61,0.0014974938271604937,0.00045956926747530867
fundamental_62,0.005818993091563786,0.00018863475389383755
fundamental_63,0.001892948796296296,0.00013358868753086416
fundamental_7,0.006125562315843623,0.0007607073789187243
fundamental_8,0.00705484777469136,0.0013429481554115227
fundamental_9,0.002236137829218106,0.0001156697938353909
technical_0,0.005133356896910018,0.00013925509894851864
technical_1,0.0028406934465020567,3.133593446549381e-05
technical_10,0.002451445944444445,0.00024110042720329222
technical_11,0.009957894525115338,0.0006475527777896554
technical_12,0.006334494984861846,0.0006189604907060495
technical_13,0.0016351269938271599,0.0002664459942845063
technical_14,0.005955081286008231,0.0006321244007407409
technical_16,0.0009097290843621397,9.613007831275722e-05
technical_17,0.01159122850244912,0.0016556481776078796
technical_18,0.0010036714711934157,3.7129785110082296e-05
technical_19,0.010721162617804007,0.001970931442699159
technical_2,0.01039021897076738,0.0013082144239244533
technical_20,0.016334597623607738,0.005938378973099656
technical_21,0.011515798657734758,0.001630495832677315
technical_22,0.0038337874691358035,0.0007823526080462962
technical_24,0.0043827019495884766,7.928324614660495e-05
technical_25,0.0043521246121399175,-0.00021288837529475306
technical_27,0.014462217182196747,0.00490056875798294
technical_28,0.002469217855967078,-0.0001350089455092593
technical_29,0.0038731611316872414,0.000771101165857613
technical_3,0.0030647262654320984,4.457879684814816e-05
technical_30,0.015234597660275765,0.0027200217801691445
technical_31,0.0058037424938271595,-0.00025883481419897115
technical_32,0.0044708762499999985,5.1604976642622e-05
technical_33,0.003440557901234569,-1.8200850627469153e-05
technical_34,0.0013275219135802467,5.4649858024691354e-05
technical_35,0.011547111760582004,0.004107060419688761
technical_36,0.009016110257789535,0.002580555312197971
technical_37,0.004954589185136193,-5.249605117217812e-05
technical_38,0.004384437381687243,0.0004634200913425926
technical_39,0.0024662164814814812,0.00014322111740246916
technical_40,0.012665351784465016,0.002271101361956894
technical_41,0.004277401181069958,-6.871956433220166e-05
technical_42,0.0014395325411522633,5.119624201646104e-06
technical_43,0.009585047794555239,0.000684920553511848
technical_44,0.003229288359053497,-1.7230378559671084e-06
technical_5,0.004630134680482068,5.6613961111405036e-05
technical_6,0.00967646460596708,0.0004879651553190038
technical_7,0.010756410316578474,0.004668460786705351
technical_9,0.001006347294238683,-2.457517785185184e-06
znull,0.0006840144444444444,0.0001290220450617284
